20040108	21300	33.86159328797154	
20040113	30700	-2.6384516072148134	
20040114	30700	-0.38822856765378094	
20040116	30200	10.045039080724521	
20040119	31600	0.8856057061013451	
20040120	29100	21.764251341569796	
20040122	20800	23.733866847594214	
20040123	24200	7.813653319813573	
20040126	30800	-18.835553612636836	
20040127	34000	-16.519641568944063	
20040128	34900	-23.27881241356655	
20040129	33100	-20.77944358855759	
20040204	35200	-2.674181936070727	
20040206	27900	9.551172715339794	
20040212	21200	37.767699807902574	
20040216	21300	16.92958219292941	
20040217	34800	6.085702969066063	
20040225	41000	-4.926221714074248	
20040226	36400	-2.4574561328669757	
20040309	23600	19.331988245220206	
20040310	21300	-3.299315375671676	
20040315	26500	-7.906287599144436	
20040405	25100	-18.126155740732997	
20040406	27600	-22.256852877260076	
20040407	29400	-19.139161423636097	
20040426	26500	15.358220637996187	
20040427	27500	6.235039813959432	
20040428	28400	7.536198807458723	
20040505	22700	-11.30429821118809	
20040506	22600	-3.1256671980047455	
20040508	23800	6.245698675651501E-16	
20040509	26000	3.545307910843949	
20040510	25200	7.431723853700531	
20040512	29300	22.49756633902887	
20040518	32800	-7.950000000000007	
20040525	29100	-12.563128867151239	
20040526	27800	6.235039813959432	
20040604	22900	18.429601914697294	
20040608	31600	6.505382386916236	
20040621	35000	-8.7	
20040622	29700	-18.79385241571817	
20040623	30600	-3.465469746273733	
20040630	28500	-35.16063139364822	
20040701	27900	-7.4306310982540875	
20040823	28300	6.52541606666388	
20040830	21900	-10.758902739390852	
20040914	33100	-21.219431074395693	
20040923	28500	12.605539238556263	
20041004	27500	12.50095987845173	
20041007	32500	-7.1014083110323964	
20041008	30600	7.945774829603218	
20041018	21200	-2.8045651752704837	
20041019	21000	-3.3585233815848667	
20041025	24000	-7.842217066606375	
20041026	26900	-6.505382386916237	
20041103	19900	-5.609130350540978	
20041108	24200	14.471266360102984	
20041109	22900	-7.4306310982540875	
20041111	19500	4.374041862232593	
20041112	16000	-10.119824663508556	
20041115	31400	10.54044438438265	
20041116	38900	13.435028842544401	
20041117	28300	21.2223281449887	
20041118	30800	-1.1155935071700256	
20041122	27200	16.177552779304143	
20041123	29700	20.421991310880784	
20041125	24200	30.547012947258843	
